date,close,volume,target
1999-01-22,3.768445709964374e-05,0.2925802307978916,1
1999-01-25,6.114918650587789e-05,0.05328309870531189,0
1999-01-26,4.1949280965916603e-05,0.03512255112702222,0
1999-01-27,4.12393788516044e-05,0.024392976531986795,0
1999-01-28,4.052402487132563e-05,0.02256389412166264,0
1999-01-29,2.9859239272660143e-05,0.024356499105000273,1
1999-02-01,3.4129515004899605e-05,0.014658714587583603,0
1999-02-02,1.706474733105808e-05,0.02653472260219542,1
1999-02-03,2.1329571197330942e-05,0.006018775452776062,1
1999-02-04,3.2704279253092076e-05,0.017613386173491855,1
1999-02-05,3.910424098548467e-05,0.012720199896299886,0
1999-02-08,3.128447502446767e-05,0.014590970794608638,0
1999-02-09,2.2749375425955347e-05,0.007305907519300468,0
1999-02-10,2.0619689425802187e-05,0.013955221352843546,1
1999-02-11,3.839433887117247e-05,0.012219938040484733,1
1999-02-12,5.119428267874113e-05,0.009775950432387786,1
1999-02-16,5.261406656458209e-05,0.02077128913832501,0
1999-02-17,3.9814122757013425e-05,0.005216272059072588,1
1999-02-18,4.336906485175756e-05,0.005539357840953208,1
1999-02-19,5.119428267874113e-05,0.006044830757766434,1
1999-02-22,5.261406656458209e-05,0.020145961818556067,1
1999-02-23,6.398875427755975e-05,0.012855687482249823,1
1999-02-24,8.389856193183321e-05,0.0643878696922087,0
1999-02-25,7.536891419928748e-05,0.014054231511806962,0
1999-02-26,6.327887250603102e-05,0.0166024403398654,1
1999-03-01,6.470410825783852e-05,0.007868702107092514,0
1999-03-02,6.256897039171879e-05,0.003861396199573214,0
1999-03-03,4.5504202717877264e-05,0.004528412007326751,0
1999-03-04,4.052402487132563e-05,0.004090682883488492,1
1999-03-05,5.332396867889429e-05,0.006414816088629725,1
1999-03-08,5.687889043085495e-05,0.006102152428745254,1
1999-03-09,6.470410825783852e-05,0.013408059948045722,0
1999-03-10,6.043383252559906e-05,0.023413297064348786,0
1999-03-11,4.9769026584150155e-05,0.003757174979611724,0
1999-03-12,4.5504202717877264e-05,0.0077175813381483525,1
1999-03-15,5.545910654501402e-05,0.00967694027342437,0
1999-03-16,4.7639340583996995e-05,0.006456504576614321,1
1999-03-17,4.90591448126214e-05,0.0034393002587291784,1
1999-03-18,5.190418479305333e-05,0.0028921388539313547,1
1999-03-19,5.261406656458209e-05,0.00929653282056493,0
1999-03-22,4.5504202717877264e-05,0.0018447155933183777,0
1999-03-23,3.128447502446767e-05,0.015664449360211986,0
1999-03-24,2.9859239272660143e-05,0.004471090336347933,1
1999-03-25,3.2704279253092076e-05,0.0022407562291720403,1
1999-03-26,5.190418479305333e-05,0.007446606166248478,1
1999-03-29,5.9014048639758157e-05,0.00502346280214383,0
1999-03-30,3.839433887117247e-05,0.0054090813160013445,1
1999-03-31,5.403385045042302e-05,0.01453886018462789,0
1999-04-01,4.692398660371822e-05,0.0011672776635686909,0
1999-04-05,3.9814122757013425e-05,0.008572195341832574,0
1999-04-06,3.4129515004899605e-05,0.005429925559993642,1
